Tag,01/05/2026,01/06/2026,01/07/2026,01/08/2026,01/09/2026,01/10/2026,01/11/2026,01/12/2026,01/13/2026,01/14/2026,01/15/2026,01/16/2026,01/17/2026,01/18/2026,01/19/2026,01/20/2026
analysis_lts_outlet_co,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.13,0.1,0.1,0.1,0.1
analysis_lts_outlet_co2,19.33,19.32,19.31,19.28,19.33,19.26,19.3,19.27,19.31,19.28,19.27,19.27,19.28,19.21,19.03,19.27
analysis_lts_outlet_ch4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.55,1.5,1.4,1.39,1.4,1.4
analysis_methanator_inlet_h2,95.25,95.13,95.28,95.25,95.08,95.3,95.24,95.02,95.07,95.38,95.09,95.3,95.02,90.54,95.88,95.04
analysis_methanator_inlet_n2,2.6,2.6,2.6,2.6,2.6,2.61,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.53,2.57,2.6
analysis_methanator_inlet_co,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.13,0.12,0.1,0.1,0.1,0.1
analysis_methanator_inlet_co2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
analysis_methanator_inlet_ch4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.17,2,1.9,1.87,1.91,1.9
analysis_methanator_outlet_h2,95.21,95.29,95.25,95.14,95.17,95.31,95.23,95.14,95.1,95.2,95.18,95.38,95.06,92.07,95.48,95.15
analysis_methanator_outlet_n2,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.63,2.57,2.6
analysis_methanator_outlet_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_methanator_outlet_co2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
analysis_methanator_outlet_ch4,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.45,2.41,2.2,2.14,2.2,2.2
analysis_reformer_outlet_h2,79.74,79.63,79.66,79.68,79.81,79.77,79.63,79.74,79.84,79.55,79.81,79.85,79.75,76.02,78.58,79.66
analysis_reformer_outlet_n2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.06,2.07,2.1
analysis_reformer_outlet_co,4.89,4.9,4.9,4.9,4.89,4.9,4.9,4.9,4.89,4.89,6.33,6.01,4.9,4.94,4.83,4.9
analysis_reformer_outlet_co2,11.72,11.69,11.7,11.71,11.69,11.68,11.71,11.69,11.72,11.69,11.7,11.69,11.72,11.41,11.57,11.72
analysis_residue_h2,45.65,45.57,45.57,45.56,45.63,45.61,45.62,45.56,45.67,45.61,45.63,45.69,45.53,44.39,45.63,45.59
analysis_residue_n2,26.91,26.91,26.87,26.89,26.93,26.87,26.91,26.86,26.95,26.87,26.95,26.94,26.86,27.41,26.68,26.93
analysis_residue_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_residue_co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_residue_c1,16.77,16.79,16.81,16.8,16.81,16.82,16.81,16.77,16.83,16.8,18.98,18.64,16.81,16.83,16.59,16.77
analysis_residue_c2,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
analysis_residue_c3,5.01,5,5,5,5,5.01,5,5.01,5,4.99,4.99,5.01,4.99,5.03,5,5.01
analysis_residue_c4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.24,2.31,2.3
analysis_residue_c5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.6
analysis_residue_c6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
analysis_sales_gas_h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_tailgas_h2,79.49,79.59,79.61,79.58,79.56,79.52,79.68,79.51,79.55,79.62,79.46,79.71,79.55,77.35,78.66,79.5
analysis_tailgas_n2,12.51,12.51,12.49,12.49,12.5,12.49,12.49,12.51,12.48,12.48,12.51,12.52,12.48,12.67,12.47,12.5
analysis_tailgas_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_tailgas_co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_tailgas_ch4,7.89,7.9,7.9,7.91,7.89,7.91,7.9,7.89,7.9,7.89,8.4,8.41,7.91,8.03,7.83,7.91
